driverId,name,ssn,location,certified,wage-plan
10,Thomas Watts,548-68-4676,"0477 Joshua Mountain
Smithmouth, UT 89339",Y,miles
11,Bob Nichols,678-91-2547,"072 Good Turnpike
North Nathan, WV 60644",Y,hours
12,Cynthia May,653-38-7210,"998 Martinez Station Apt. 377
North Danielton, UT 14570",Y,hours
13,Rodney Hoffman,255-97-7584,"Unit 6182 Box 1200
DPO AA 43505",Y,miles
14,Justin Hester,712-76-4153,"09524 Carol Port
New Craig, AZ 16346",N,hours
15,William Burke,439-79-4788,"6471 Jones Courts
Robinsontown, WA 71548",Y,hours
16,Leah Salas,821-84-5489,"70326 Mccann Ways Suite 648
South Jamesmouth, TN 48148",N,hours
17,Mary Ruiz,654-28-9027,"015 Diaz Lights
New Chelseachester, WI 29540",N,hours
18,Elizabeth Porter,312-25-7497,"27080 Charles Lights
Cynthiaton, RI 44910",N,hours
19,Jerome Moore,465-94-3638,"USCGC Rodriguez
FPO AP 50711",N,hours
20,Jennifer Carter,251-19-2013,"615 Gill Inlet
Stokeston, GA 80874",Y,miles
21,Ashley Mcmahon,049-63-2989,"5050 Stephen Track
West Spencer, MN 11316",N,miles
22,Robert Bowman,645-62-6327,"6340 Amber Curve
Sarahstad, AR 45673",Y,miles
23,Carl Andrews,801-37-8202,"3186 Joseph Place Suite 476
Kellyport, ME 63378",Y,miles
24,Mindy Mccullough,350-07-8586,"10561 Maxwell Prairie Apt. 721
Katherineburgh, MD 51274",N,miles
25,Daniel Smith,030-19-7945,"357 Dixon Hill Suite 548
Jefferyburgh, FL 27722",N,miles
26,Kyle Salazar,707-18-9717,"7355 Griffith Village
Port Kathrynmouth, VI 09456",N,miles
27,Amy Saunders,171-36-9351,"5535 Fox Terrace
Wilsonport, AK 91949",Y,hours
28,Vincent Anthony,074-28-1839,"332 Williams Lodge Suite 707
East Briannaborough, OH 92741",Y,hours
29,Jill Russell,810-99-4835,"2837 Jamie Junctions Suite 372
Port Kristenmouth, SC 75311",N,hours
30,Carlos Williams,416-05-3258,"950 Rhonda Throughway
Port Heather, ME 40298",N,miles
31,Robert Owen,158-80-1209,"556 Green Junctions Suite 815
Jennifermouth, AS 65389",N,miles
32,Alicia Harris,396-72-0354,"152 Stephanie Spurs
Carloshaven, AR 48639",N,hours
33,Stephanie Hernandez,118-10-7948,"9635 Michael Dale Apt. 647
New Kevin, AS 52493",N,miles
34,Alicia Jenkins,790-84-3401,"332 Christopher Court
West Marciatown, NH 91933",Y,miles
